銀行名稱,銀行買入(即期),銀行賣出(即期),銀行買入(現鈔),銀行賣出(現鈔),時間
台灣中小,5.066,5.112,4.966,5.172,16:06
台灣銀行,4.678,4.728,4.606,4.768,16:01
台新銀行,4.6368,4.6768,4.5668,4.6968,17:57
渣打銀行,4.416,4.456,4.336,4.536,-
上海商銀,4.632,4.692,4.552,4.752,-
土地銀行,4.637,4.687,4.562,4.727,17:50
日盛銀行,5.011,5.071,4.941,5.128,16:10
華南銀行,4.63,4.69,4.54,4.726,16:05
匯豐銀行,4.39684,4.44192,4.29684,4.54192,6/2
遠東商銀,4.634,4.692,4.554,4.758,-
玉山銀行,4.666,4.716,4.611,4.741,15:48
花旗銀行,4.469,4.5243,4.4039,4.5895,-
中國信託,4.647,4.68,4.495,4.701,-
國泰世華,4.767,4.817,4.697,4.837,17:59
